日期,時間,傳送者,大類,標籤,網址
,22:55,言瓴,旅遊-日本,名古屋美食,https://www.threads.com/@carrymecarrieme/post/DPfTqB3kkAx?xmt=AQF04pZCIdlI0eRwrJdhid7WVcwZeA63CeZw5yZvQCKJaw&slof=1
,07:28,言瓴,其他,,https://www.threads.com/@seanh0713/post/DPitTqkD37G?xmt=AQF0RrTOj_d4lWLCeLcFf1uhY2nUlz9vAAcoTebmR6ehzA&slof=1
,00:27,言瓴,旅遊-日本,日本換乘,https://www.threads.com/@airi18.12/post/DRHErVbj-m7?xmt=AQF0bg1XFYWKIXwNfpcMigH8Vi-IEBjzRKX9XIR2OC2XP0g6LJ7ek9hr2jP_Gkn_8F89RM68&slof=1
,021:26,言瓴,旅遊-日本,日本jins配眼鏡,https://www.threads.com/@niaan888/post/DDRtvWHTNSQ?xmt=AQF0udD1hHgpeXrLAIhXh-WF4mHG22Z_ZpRJgLXKfrbhxA6ZKEkE9vJlnuwLryrm_SxMwzNf&slof=1
2025.12.08 星期一,13:36,言瓴,旅遊-日本,獨旅參考,https://www.threads.com/@infobosssun/post/DWYnUi8GaCJ?xmt=AQF0anSGWzttC6rgnlPO0mSNDOHk7S1PIZtD526zZg9dTR7nbbk0yay9CI5iTybS5FOWK-0F&slof=1
2026.03.31 星期二,15:58,言瓴,旅遊-台灣,台南路線,https://www.threads.com/@yihsinvickychiu/post/DWgFk8CEUzJ?xmt=AQF0-Gno_HStgX_sdUPq8Z8KNh4P6IUmvBrL4Jf6BkoD1XAAyLyBXXW4f5mVAa6_01rQDVEa&slof=1
2026.03.31 星期二,14:14,言瓴,旅遊-日本,大阪住宿,https://www.airbnb.com.tw/rooms/36678197?unique_share_id=db5c83ca-f243-450c-b11c-41a4834f6e0e&viralityEntryPoint=1&s=76&source_impression_id=p3_1776752073_P3SjI5YwgJDQWFIQ
2026.03.31 星期二,09:39,言瓴,娛樂創作,,https://www.ptt.cc/bbs/marvel/M.1404751425.A.3B5.html
2026.03.31 星期二,09:43,言瓴,娛樂創作,虎爸爸 8+9,https://www.threads.com/@zion.20010128/post/DXe55X6kl3p?xmt=AQF0uhlP86WXwNOTmGLxXRG2Fz8gUKf6Wp1BvvVqJ1qxbvduMHGLfx8ZUeidgLvdx50AQ0Qh&slof=1
2026.04.25 星期六,08:48,言瓴,AI工具,,https://www.threads.com/@hi_luby_tsai/post/DXfSM3ek0lZ?xmt=AQF0nienwwdXDvk-n-XKXF_iN3tumnY6M-SPBlT4XZLBEdk7QiUV7HkLWnRisZJJ8-Y-fFCs&slof=1
2026.04.25 星期六,22:45,言瓴,AI工具,Ai寫程式,https://x.com/i/status/2048230976447557787
2026.04.25 星期六,23:00,言瓴,其他,,https://x.com/i/status/2049423003260449009
2026.05.05 星期二,22:20,言瓴,其他,,https://x.com/i/status/2051647798223991023
2026.05.05 星期二,22:26,言瓴,AI工具,Claude排版用,https://x.com/i/status/2051517304543105279
2026.05.06 星期三,07:31,言瓴,筆記工具,Obisidian插件,https://x.com/i/status/2051685326041853960
2026.05.06 星期三,15:34,言瓴,娛樂創作,同人文,https://www.threads.com/@89640303jc/post/DX7MIanDzoE?xmt=AQF0eyOECGEyeszuTBqyyKV7XFRVmnOl-WeXDHhBHh4Ex0frDVs-IV1t1kDwnr2xkQyTyq26&slof=1
2026.05.06 星期三,23:16,言瓴,日文學習,日文,https://www.threads.com/@mrjiahui/post/DX_cucQGUcF?xmt=AQF0r_XcjRtaNga_eTZEbdBWpOcbXIh2uk2-NlS3DLlEwiS1Cjm2egkl27fef7xKIF9jCd4&slof=1
2026.05.10 星期日,00:05,言瓴,筆記工具,Ppt,https://x.com/i/status/2053103395863699594
2026.05.11 星期一,07:33,言瓴,筆記工具,Notion,https://www.threads.com/@yahua_/post/DXvgq2mEskv?xmt=AQG01-sBRXxwlZ1lU2uuJjpM2nPtRgmIeXBmb_doqLW_Il7c-6n16307bxTXXskUO95GgPU&slof=1
2026.05.11 星期一,07:58,言瓴,AI工具,Claude,https://www.threads.com/@32zanna/post/DYJwBVgnxGT?xmt=AQG0VHMlV302t3td9aXsHvNgJqswz5pJaJEb-EOjd5FYxRAVENAQdWMVbJSGtyGHMpmXlBE&slof=1
2026.05.11 星期一,12:48,言瓴,AI工具,Firecrawl 網頁爬蟲,https://youtu.be/Lq-wedAiffo?si=_O6v3gFRnAQsqL2l
2026.05.14 星期四,07:46,言瓴,AI工具,Skill寫法,https://www.threads.com/@listentozapao/post/DXMWHkxlio1?xmt=AQG084LGw8RTVIk38r53VnfyZPsG8mlLrnbMl1ceDRRZqBxvtW7i_w6j_KTcLTPbCI9LAPgG&slof=1
2026.05.14 星期四,09:27,言瓴,其他,職訓局手工課,https://www.threads.com/@yangyang.629/post/DYRqeY7k7qO?xmt=AQG0Nycj-lCdgxxZTFkUjWKLb02d1SsRanEcXmun_rd0MDi2_iZnU19MZ73DMYiH1k1rhGtB&slof=1
2026.05.15 星期五,00:34,言瓴,AI工具,Ai讀網頁,https://raymondhouch.com/lifehacker/digital-workflow/ai-agent-web-scraping-tools-comparison/
2026.05.19 星期二,21:23,言瓴,旅遊-日本,東京 食物,https://www.threads.com/@hck819/post/DXgndrNiQYM?xmt=AQG0VM00gqBFzlBeumglg3QKTMId_DfSdMLDzX7WpVMW_L-Dj1G55VAjcQUTEqwo_v-v-lQU&slof=1
2026.05.20 星期三,16:14,言瓴,日文學習,,https://news.web.nhk/news/easy/ne2026051912519/ne2026051912519.html
2026.05.21 星期四,13:03,言瓴,健身運動,HITT訓練,https://www.threads.com/@garfieldwing/post/DYkca0THGj7?xmt=AQG0j1ci-_fV7jmvlSpzOC1WLoeZEPR-hwPBe7Eh4hLGLQGbfdsU4WQ4ZZwqUpOJTXmduSA&slof=1
2026.05.21 星期四,16:21,言瓴,日文學習,,https://www.sigure.tw/learn-japanese/vocabulary/n5/?page=1
2026.05.22 星期五,00:15,言瓴,旅遊-日本,日本 住宿 東京,https://www.threads.com/@tiss.huang/post/DYl6WBxmKpb?xmt=AQG0MNBD6SdcZZQknsH_tDko4StXiyRSer3nviEZU9EC1bDrVE7Hn8gpVPmGClGXyC6tFYQJ&slof=1
2026.05.22 星期五,00:22,言瓴,旅遊-韓國,韓國釜山,https://www.threads.com/@summer_7931/post/DYj4a2LmAKh?xmt=AQG0ExahhouMmq1qlBhPi_njUcCyj3nrc5Mx7Dqbrq87JWbUdR12S7xcwz7i_0PuUH8qItk&slof=1
2026.05.22 星期五,08:25,言瓴,美妝保養,轉印 貼紙 圖案,https://www.threads.com/@tufy_usagi/post/DYlerrGk89U?xmt=AQG0CODQpuIZv60Ulo0GOxenC6zNZOUNPpXeh1fYZ8Xp_lXWLSwB6I_avLp3NFiBxuSjp_A&slof=1
2026.05.22 星期五,22:33,言瓴,AI工具,,https://www.threads.com/@sun3hineee1/post/DYosOI8ieGQ?xmt=AQG0QZDfbvQEgAi5Nnknbv_i1AOgkw6dgCxN_Ncau43PqerBpyP-G47xVkwiwV0Yl6zBlHXn&slof=1
2026.05.22 星期五,23:44,言瓴,娛樂創作,韓文同人反應器,https://www.threads.com/@qu_eeris1/post/DYo12HwGPDm?xmt=AQG0432QGL4m0exNY5ygB5Qm-KePqAvjupHorU68ugtAdi4IE1i4ngD9jJEl8mhDMBOW9f7r&slof=1
2026.05.23 星期六,19:14,言瓴,其他,,https://www.threads.com/@goodxssss/post/DYpEShVidO0?xmt=AQG03JxfAGJwVi7Cs415_Z5jIeEzUGO2zpcugjZlJP1_jK6VWK7K29AjZM27kkmxfhQIMms&slof=1
2026.05.23 星期六,20:16,言瓴,AI工具,睫毛膏,https://www.instagram.com/reel/DF41_aiz-z6/?igsh=MXU1bXgwaDQ1dnQ4cw==
2026.05.23 星期六,23:44,言瓴,旅遊-台灣,嘉義 美食,https://www.threads.com/@table_for_duo/post/DYq6U-lGU5X?xmt=AQG0sBE2GTKFTarkcxTRP5uNmpLoZa05znI88JLTNkCPVyKCHT6I04IDwACK1GrsVK_JkqQ&slof=1
2026.05.24 星期日,10:12,言瓴,旅遊-日本,日本 四國 旅遊,https://www.threads.com/@blue__valdivia/post/DYo1SQDlGrT?xmt=AQG0aAY_Y49NCbIk4c33vMsipR3yQ-GvdDBDMYO3mM2sf21ULUYnt9fX47G6HNGETdEe3EM&slof=1
2026.05.24 星期日,11:55,言瓴,旅遊-韓國,韓國首爾聖水洞,https://www.threads.com/@ccccouni/post/DYtAvAIj9Dt?xmt=AQG0Xvsil8bA8ex0oaRS2GvLNvHxO74DCoNQbOIVJysjlgyoP-AvOdO9ljCT8qHSsd20V4g&slof=1
2026.05.24 星期日,12:05,言瓴,旅遊-韓國,韓國首爾聖水洞,https://www.threads.com/@angelbearhi/post/DYnw7jbkrDy?xmt=AQG0lRjdSD7vrhMJfcjrtPV3HBCxZG1n7WFrZTIoAzszpEiN_clURIRip82Y9ja0yPu7YX5q&slof=1
2026.05.24 星期日,13:33,言瓴,日文學習,日文 自學 資源,https://drive.google.com/drive/mobile/folders/1-HXfpBXsm9k9nZTPzvPc1oS3I8h_iJGQ?utm_source=threads&utm_medium=social&utm_content=link_in_bio
2026.05.25 星期一,08:15,言瓴,旅遊-日本,韓國住宿,https://www.threads.com/@mimi881108_2.0/post/DYva--vEp7z?xmt=AQG0yKUeSZ28NnqJdXWNraELaBETcKOzkj10m8VWjkrmE6-AJBrtWsWF0hMugYfZoMmZGk0&slof=1
2026.05.25 星期一,19:44,言瓴,旅遊-台灣,高雄一日,https://www.threads.com/@_yuxi_h/post/DYvxFC_ErGP?xmt=AQG0Mp3bydl49RBbQp88x-gBMUCaCNYtfostQNokdxjO6PCPbP3Q3ur-fDIWkyo_vc43A03T&slof=1
2026.05.29 星期五,00:22,言瓴,旅遊-台灣,台東,https://www.threads.com/@kmu_delicacy/post/DY4asvkjRoc?xmt=AQG03kyeeaoP6xu6v8wuUTBjWl0iJtzSHom7gE4oWEWLAVFMH1Yge1W1rPOl-CpDjO7N48Nw&slof=1
2026.05.29 星期五,09:49,言瓴,旅遊-日本,京都,https://www.threads.com/@eva05288/post/DY4ApfBkiRe?xmt=AQG0JWMFsuCYTPSKWrnkEfhP4g1f2_ytaDWC-AnaobPMjG2zIRG3fg6uXtDKazSQ3oxCIMee&slof=1
2026.05.29 星期五,21:13,言瓴,旅遊-台灣,台南 早午餐,https://www.threads.com/@58_food/post/DY4oLPHgelj?xmt=AQG0KtRYo178hTIszv_PdNDxfJD1hEJjOEKFQT1gxszCDfn7A-BRO1I3Q5QVOZUH9lMTK1Qj&slof=1
2026.05.29 星期五,23:26,言瓴,AI工具,Claude skill,https://www.threads.com/@timzz1208/post/DY6i-xYkVXH?xmt=AQG0-Ay7Nsj2pko1W7fxCAFcWfeTs6RIL7cOyPt8puVehlzdUfdJ_zYSHkLIoYoDZWB5x9I&slof=1
2026.05.30 星期六,07:56,言瓴,旅遊-日本,日本關西,https://www.threads.com/@japan.wanderer_kansai/post/DY5t_nBE1uY?xmt=AQG0xpPNNU0qCGsjrs481kHbbLGhxP1lDgnL54BjrwIcMC71fu96-00DQG4eJdKoZXry4Psh&slof=1
2026.05.30 星期六,10:33,言瓴,旅遊-日本,京都 貴船神社,https://www.threads.com/@mingsyo_/post/DY7wUtUE_kE?xmt=AQG0ehdtmTMC6xmuFanuusaxlG6xIai5umPoDow-RA59Rloz8AMo32q52ky5YBmouLLkJqD9&slof=1
2026.05.30 星期六,23:53,言瓴,AI工具,讀影片 ai,https://www.threads.com/@yiyi_nana04/post/DY7bjBTEqSM?xmt=AQG0yq2NQcICHvONpv94SDSJHwGtZK83NNLJesoqe6ks-ljx2TUA5c4_ridr0zVaKvAwqBk&slof=1
2026.06.01 星期一,17:12,言瓴,筆記工具,國圖資源,https://www.threads.com/@pawnpage/post/DZCUl_hGyas?xmt=AQG0pnKwwfgKluB5zhYYKx7_RSoKXvzpEk_vBrk021VFwNKsFZqosIoJzW3Qr7VrlpmbAYs&slof=1
2026.06.03 星期三,12:55,言瓴,日文學習,日檢,https://www.threads.com/@zaodian_99/post/DZG7v11kvQ1?xmt=AQG04_8joMhZu_S5Qsn2HylLHlPpjLNeALacw2YMp3fy6P5KC1pqNjvMIBiT4VELNiT5O92U&slof=1
2026.06.06 星期六,16:29,言瓴,旅遊-日本,出發前check,https://www.threads.com/@yummychu0126/post/DZNfpPVEkTm?xmt=AQG0DGUGcKzEpmze-xf0bH1-JjJzePXaRKWZnZQCxGAABtkSMWP08ObH7PXuYiKKU45Nwtw&slof=1
2026.06.06 星期六,22:07,言瓴,AI工具,Open skide,https://www.threads.com/@1weiho/post/DZMlVzVjSm8?xmt=AQG0IosjJloDNC0FYeR78otYBtERj7gqJB424PR2Q2lbeNOxvueFKaOBIKcfuO5kXaZ5jIs0&slof=1
2026.06.09 星期二,08:11,言瓴,旅遊-日本,日本 福岡,https://www.threads.com/@yummychu0126/post/DZTtgcNkt3S?xmt=AQG0XYav4W2fL4LKGUOWRelKBOsGhHC4_KasRFLj9RjWK-6SnZd2bFrrdtZrn_3Dgtnrmsk&slof=1
2026.06.09 星期二,18:00,言瓴,其他,,https://www.threads.com/@tsw4i_/post/DZU28v-EzPA?xmt=AQG0kcQJ502Uf96jKgy8DuszsxRvClWmyHBtb0C7-0VZuiGDZJDY3WyUqQbG6NqE-RI4HW4&slof=1
2026.06.10 星期三,13:05,言瓴,程式開發,,https://github.com/1weiho/open-slide
2026.06.12 星期五,08:05,言瓴,旅遊-日本,日本 計程車,https://www.threads.com/@hausenstagram/post/DZcVHSimT_X?xmt=AQG08azkkqlpdFsNM6MlSXG3WwJGxEUUR3wWQBcG0ToytobQtzLmG87N-BZuib3zCAX9IgtC&slof=1
